A[0], 17892,
A[1], 18324,
A[2], 19004,
A[3], 20009,
A[4], 4231,
A[5], 58738,
A[6], 58754,
A[7], 58183,
A[8], 56880,
A[9], 3065,
A[10], 3297,
A[11], 3188,
A[12], 3057,
A[13], 2068,
A[14], 2635,
A[15], 4866,
A[16], 6401,
A[17], 8207,
A[18], 9207,
A[19], 8745,
A[20], 8500,
A[21], 8971,
A[22], 8559,
A[23], 8462,
A[24], 8847,
A[25], 8620,
A[26], 8566,
A[27], 9109,
A[28], 8868,
A[29], 8698,
A[30], 9048,
A[31], 8665,
A[32], 8594,
A[33], 8998,
A[34], 8782,
A[35], 8605,
A[36], 9038,
A[37], 8748,
A[38], 8578,
A[39], 9027,
A[40], 8764,
A[41], 8592,
A[42], 8975,
A[43], 8807,
A[44], 8528,
A[45], 9037,
A[46], 8821,
A[47], 8517,
A[48], 8982,
A[49], 8759,
A[50], 8602,
A[51], 8986,
A[52], 8805,
A[53], 8576,
A[54], 8998,
A[55], 8838,
A[56], 8587,
A[57], 9018,
A[58], 8792,
A[59], 8610,
A[60], 9091,
A[61], 8757,
A[62], 8575,
A[63], 9022,
A[64], 8714,
A[65], 8594,
A[66], 9053,
A[67], 8786,
A[68], 8633,
A[69], 9064,
A[70], 8730,
A[71], 8573,
A[72], 9010,
A[73], 8749,
A[74], 8641,
A[75], 9048,
A[76], 8829,
A[77], 8633,
A[78], 9061,
A[79], 8782,
A[80], 8573,
A[81], 9006,
A[82], 8774,
A[83], 8610,
A[84], 9101,
A[85], 8818,
A[86], 8603,
A[87], 9068,
A[88], 8734,
A[89], 8641,
A[90], 9086,
A[91], 8777,
A[92], 8660,
A[93], 9087,
A[94], 8748,
A[95], 8642,
A[96], 9055,
A[97], 8757,
A[98], 8649,
A[99], 9073,
A[100], 8808,
A[101], 8644,
A[102], 9048,
A[103], 8792,
A[104], 8572,
A[105], 9033,
A[106], 8854,
A[107], 8594,
A[108], 9086,
A[109], 8829,
A[110], 8560,
A[111], 9094,
A[112], 8776,
A[113], 8616,
A[114], 9095,
A[115], 8804,
A[116], 8673,
A[117], 9147,
A[118], 8790,
A[119], 8659,
A[120], 9096,
A[121], 8740,
A[122], 8687,
A[123], 9061,
A[124], 8803,
A[125], 8653,
A[126], 9064,
A[127], 8839,
A[128], 8611,
A[129], 9037,
A[130], 8833,
A[131], 8604,
A[132], 9060,
A[133], 8875,
A[134], 8607,
A[135], 9040,
A[136], 8859,
A[137], 8588,
A[138], 9087,
A[139], 8845,
A[140], 8638,
A[141], 9140,
A[142], 8775,
A[143], 8652,
A[144], 9144,
A[145], 8718,
